NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.0
M[15]: mak_local 147.711578 energy 21824.748047, total energy 359642.937500 (16 tasks). 4 cores, 143516.00 GFLOPS, E:77.50-130.00
Makespan: 182.584259 energy consumption: 359642.937500 heavy: 8
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.2
M[0]: mak_local 93.754204 energy 27488.169922, total energy 27488.169922 (4 tasks). 2 cores, 37185.00 GFLOPS, E:143.80-183.00
M[1]: mak_local 164.165741 energy 23653.232422, total energy 51141.402344 (100 tasks). 6 cores, 459263.00 GFLOPS, E:59.90-150.40
M[2]: mak_local 160.598526 energy 19548.974609, total energy 70690.375000 (95 tasks). 6 cores, 443655.00 GFLOPS, E:37.20-126.10
M[3]: mak_local 155.933060 energy 15647.388672, total energy 86337.765625 (8 tasks). 4 cores, 89881.00 GFLOPS, E:67.80-96.80
M[4]: mak_local 165.942093 energy 15960.362305, total energy 102298.125000 (69 tasks). 4 cores, 394356.00 GFLOPS, E:21.40-102.00
M[5]: mak_local 145.223450 energy 13424.218750, total energy 115722.343750 (36 tasks). 4 cores, 251057.00 GFLOPS, E:32.30-89.50
M[6]: mak_local 158.172653 energy 14064.883789, total energy 129787.226562 (32 tasks). 4 cores, 228603.00 GFLOPS, E:31.80-89.50
M[7]: mak_local 128.694504 energy 21312.185547, total energy 151099.406250 (12 tasks). 4 cores, 121036.00 GFLOPS, E:104.20-136.00
M[8]: mak_local 161.335358 energy 14212.877930, total energy 165312.281250 (24 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[9]: mak_local 131.430603 energy 6919.367188, total energy 172231.656250 (18 tasks). 2 cores, 126976.00 GFLOPS, E:20.80-47.40
M[10]: mak_local 154.779343 energy 19436.005859, total energy 191667.656250 (10 tasks). 2 cores, 78928.00 GFLOPS, E:78.80-120.00
M[11]: mak_local 97.034103 energy 19017.132812, total energy 210684.781250 (8 tasks). 4 cores, 100845.00 GFLOPS, E:93.50-130.00
M[12]: mak_local 134.783585 energy 9019.761719, total energy 219704.546875 (20 tasks). 2 cores, 136634.00 GFLOPS, E:25.00-61.70
M[13]: mak_local 112.673820 energy 18823.820312, total energy 238528.375000 (16 tasks). 4 cores, 150979.00 GFLOPS, E:76.90-131.80
M[14]: mak_local 120.752312 energy 21619.210938, total energy 260147.593750 (12 tasks). 4 cores, 122114.00 GFLOPS, E:79.30-150.30
M[15]: mak_local 150.023361 energy 18037.921875, total energy 278185.500000 (48 tasks). 4 cores, 307615.00 GFLOPS, E:38.20-120.00
Makespan: 165.942093 energy consumption: 278185.500000 heavy: 4
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.3
M[0]: mak_local 139.291763 energy 18191.292969, total energy 18191.292969 (56 tasks). 6 cores, 256780.00 GFLOPS, E:61.00-129.50
M[1]: mak_local 155.139542 energy 19290.199219, total energy 37481.492188 (92 tasks). 12 cores, 469103.00 GFLOPS, E:42.80-140.70
M[2]: mak_local 120.307747 energy 19864.769531, total energy 57346.261719 (21 tasks). 4 cores, 121036.00 GFLOPS, E:104.20-136.00
M[3]: mak_local 148.761276 energy 16018.526367, total energy 73364.789062 (20 tasks). 4 cores, 173163.00 GFLOPS, E:59.50-105.00
M[4]: mak_local 96.316040 energy 26301.765625, total energy 99666.554688 (2 tasks). 2 cores, 37185.00 GFLOPS, E:143.80-183.00
M[5]: mak_local 121.934525 energy 11890.874023, total energy 111557.429688 (32 tasks). 4 cores, 251057.00 GFLOPS, E:32.30-89.50
M[6]: mak_local 137.152527 energy 18609.449219, total energy 130166.875000 (48 tasks). 12 cores, 459729.00 GFLOPS, E:40.50-134.70
M[7]: mak_local 112.453003 energy 14518.142578, total energy 144685.015625 (12 tasks). 4 cores, 138462.00 GFLOPS, E:63.30-105.10
M[8]: mak_local 151.624481 energy 20217.306641, total energy 164902.328125 (16 tasks). 4 cores, 150979.00 GFLOPS, E:76.90-131.80
M[9]: mak_local 105.638611 energy 21188.904297, total energy 186091.234375 (8 tasks). 2 cores, 82084.00 GFLOPS, E:101.80-151.50
M[10]: mak_local 119.819931 energy 12488.135742, total energy 198579.375000 (36 tasks). 6 cores, 318441.00 GFLOPS, E:35.70-96.10
M[11]: mak_local 156.964203 energy 34884.769531, total energy 233464.140625 (58 tasks). 8 cores, 461606.00 GFLOPS, E:135.60-241.50
M[12]: mak_local 154.329620 energy 9487.008789, total energy 242951.156250 (20 tasks). 2 cores, 136634.00 GFLOPS, E:25.00-61.70
M[13]: mak_local 149.104034 energy 18078.441406, total energy 261029.593750 (67 tasks). 6 cores, 443655.00 GFLOPS, E:37.20-126.10
M[14]: mak_local 98.325203 energy 17192.902344, total energy 278222.500000 (12 tasks). 4 cores, 143516.00 GFLOPS, E:77.50-130.00
M[15]: mak_local 129.988815 energy 20612.455078, total energy 298834.968750 (12 tasks). 2 cores, 104222.00 GFLOPS, E:93.00-140.00
Makespan: 156.964203 energy consumption: 298834.968750 heavy: 11
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.4
M[0]: mak_local 159.305206 energy 17442.210938, total energy 17442.210938 (40 tasks). 4 cores, 138462.00 GFLOPS, E:63.30-105.10
M[1]: mak_local 173.752457 energy 25247.759766, total energy 42689.968750 (35 tasks). 4 cores, 122114.00 GFLOPS, E:79.30-150.30
M[2]: mak_local 170.458572 energy 21413.621094, total energy 64103.589844 (55 tasks). 4 cores, 165629.00 GFLOPS, E:63.50-129.00
M[3]: mak_local 171.599960 energy 20669.882812, total energy 84773.468750 (52 tasks). 4 cores, 325650.00 GFLOPS, E:38.30-121.50
M[4]: mak_local 179.273468 energy 18470.607422, total energy 103244.078125 (71 tasks). 4 cores, 412077.00 GFLOPS, E:30.90-106.20
M[5]: mak_local 134.651566 energy 21062.158203, total energy 124306.234375 (16 tasks). 4 cores, 154045.00 GFLOPS, E:69.00-134.50
M[6]: mak_local 140.221390 energy 22513.492188, total energy 146819.718750 (12 tasks). 2 cores, 98472.00 GFLOPS, E:93.70-135.00
M[7]: mak_local 179.514496 energy 12754.906250, total energy 159574.625000 (19 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[8]: mak_local 166.857254 energy 20297.042969, total energy 179871.671875 (24 tasks). 4 cores, 188173.00 GFLOPS, E:59.60-118.50
M[9]: mak_local 178.341156 energy 21419.095703, total energy 201290.765625 (10 tasks). 2 cores, 78928.00 GFLOPS, E:78.80-120.00
M[10]: mak_local 132.680786 energy 22140.316406, total energy 223431.078125 (4 tasks). 2 cores, 47927.00 GFLOPS, E:82.00-138.00
M[11]: mak_local 123.979614 energy 19320.416016, total energy 242751.500000 (48 tasks). 12 cores, 469103.00 GFLOPS, E:42.80-140.70
M[12]: mak_local 151.506119 energy 21660.712891, total energy 264412.218750 (20 tasks). 4 cores, 169068.00 GFLOPS, E:68.50-131.60
M[13]: mak_local 139.831360 energy 13409.685547, total energy 277821.906250 (20 tasks). 4 cores, 171052.00 GFLOPS, E:36.60-86.00
M[14]: mak_local 177.352142 energy 25659.750000, total energy 303481.656250 (70 tasks). 6 cores, 459263.00 GFLOPS, E:59.90-150.40
M[15]: mak_local 156.944916 energy 22116.765625, total energy 325598.437500 (16 tasks). 4 cores, 143516.00 GFLOPS, E:77.50-130.00
Makespan: 179.514496 energy consumption: 325598.437500 heavy: 7
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.5
M[0]: mak_local 181.468811 energy 27625.476562, total energy 27625.476562 (26 tasks). 2 cores, 104222.00 GFLOPS, E:93.00-140.00
M[1]: mak_local 198.094177 energy 10786.563477, total energy 38412.039062 (89 tasks). 4 cores, 314438.00 GFLOPS, E:17.80-55.70
M[2]: mak_local 194.840912 energy 23855.470703, total energy 62267.507812 (90 tasks). 12 cores, 416178.00 GFLOPS, E:48.00-131.00
M[3]: mak_local 198.261597 energy 31802.728516, total energy 94070.234375 (20 tasks). 4 cores, 126597.00 GFLOPS, E:104.50-156.80
M[4]: mak_local 206.873245 energy 26616.714844, total energy 120686.953125 (14 tasks). 2 cores, 79576.00 GFLOPS, E:86.00-129.00
M[5]: mak_local 188.081375 energy 24690.746094, total energy 145377.703125 (28 tasks). 4 cores, 161999.00 GFLOPS, E:65.00-126.00
M[6]: mak_local 153.393616 energy 22462.693359, total energy 167840.390625 (12 tasks). 2 cores, 78928.00 GFLOPS, E:78.80-120.00
M[7]: mak_local 196.901978 energy 23681.587891, total energy 191521.984375 (24 tasks). 2 cores, 118486.00 GFLOPS, E:75.20-117.00
M[8]: mak_local 199.425079 energy 20210.992188, total energy 211732.968750 (30 tasks). 4 cores, 173163.00 GFLOPS, E:59.50-105.00
M[9]: mak_local 170.509094 energy 25294.027344, total energy 237027.000000 (24 tasks). 4 cores, 154045.00 GFLOPS, E:69.00-134.50
M[10]: mak_local 124.327545 energy 29639.876953, total energy 266666.875000 (6 tasks). 2 cores, 52303.00 GFLOPS, E:105.00-169.00
M[11]: mak_local 197.192871 energy 19629.103516, total energy 286295.968750 (12 tasks). 4 cores, 89881.00 GFLOPS, E:67.80-96.80
M[12]: mak_local 202.079132 energy 20910.919922, total energy 307206.875000 (93 tasks). 4 cores, 412077.00 GFLOPS, E:30.90-106.20
M[13]: mak_local 147.305099 energy 31823.234375, total energy 339030.125000 (16 tasks). 4 cores, 119239.00 GFLOPS, E:114.00-170.80
M[14]: mak_local 183.633072 energy 23471.171875, total energy 362501.312500 (8 tasks). 2 cores, 54479.00 GFLOPS, E:86.00-117.00
M[15]: mak_local 154.749451 energy 19448.607422, total energy 381949.906250 (20 tasks). 4 cores, 138462.00 GFLOPS, E:63.30-105.10
Makespan: 206.873245 energy consumption: 381949.906250 heavy: 4
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.6
M[0]: mak_local 93.754204 energy 27488.169922, total energy 27488.169922 (4 tasks). 2 cores, 37185.00 GFLOPS, E:143.80-183.00
M[1]: mak_local 164.165741 energy 23653.232422, total energy 51141.402344 (100 tasks). 6 cores, 459263.00 GFLOPS, E:59.90-150.40
M[2]: mak_local 160.598526 energy 19548.974609, total energy 70690.375000 (95 tasks). 6 cores, 443655.00 GFLOPS, E:37.20-126.10
M[3]: mak_local 155.933060 energy 15647.388672, total energy 86337.765625 (8 tasks). 4 cores, 89881.00 GFLOPS, E:67.80-96.80
M[4]: mak_local 165.942093 energy 15960.362305, total energy 102298.125000 (69 tasks). 4 cores, 394356.00 GFLOPS, E:21.40-102.00
M[5]: mak_local 145.223450 energy 13424.218750, total energy 115722.343750 (36 tasks). 4 cores, 251057.00 GFLOPS, E:32.30-89.50
M[6]: mak_local 158.172653 energy 14064.883789, total energy 129787.226562 (32 tasks). 4 cores, 228603.00 GFLOPS, E:31.80-89.50
M[7]: mak_local 128.694504 energy 21312.185547, total energy 151099.406250 (12 tasks). 4 cores, 121036.00 GFLOPS, E:104.20-136.00
M[8]: mak_local 161.335358 energy 14212.877930, total energy 165312.281250 (24 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[9]: mak_local 131.430603 energy 6919.367188, total energy 172231.656250 (18 tasks). 2 cores, 126976.00 GFLOPS, E:20.80-47.40
M[10]: mak_local 154.779343 energy 19436.005859, total energy 191667.656250 (10 tasks). 2 cores, 78928.00 GFLOPS, E:78.80-120.00
M[11]: mak_local 97.034103 energy 19017.132812, total energy 210684.781250 (8 tasks). 4 cores, 100845.00 GFLOPS, E:93.50-130.00
M[12]: mak_local 134.783585 energy 9019.761719, total energy 219704.546875 (20 tasks). 2 cores, 136634.00 GFLOPS, E:25.00-61.70
M[13]: mak_local 112.673820 energy 18823.820312, total energy 238528.375000 (16 tasks). 4 cores, 150979.00 GFLOPS, E:76.90-131.80
M[14]: mak_local 120.752312 energy 21619.210938, total energy 260147.593750 (12 tasks). 4 cores, 122114.00 GFLOPS, E:79.30-150.30
M[15]: mak_local 150.023361 energy 18037.921875, total energy 278185.500000 (48 tasks). 4 cores, 307615.00 GFLOPS, E:38.20-120.00
Makespan: 165.942093 energy consumption: 278185.500000 heavy: 4
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.7
M[0]: mak_local 161.834595 energy 21800.074219, total energy 21800.074219 (25 tasks). 4 cores, 121036.00 GFLOPS, E:104.20-136.00
M[1]: mak_local 155.843231 energy 21412.244141, total energy 43212.320312 (36 tasks). 4 cores, 154045.00 GFLOPS, E:69.00-134.50
M[2]: mak_local 169.150146 energy 15089.323242, total energy 58301.644531 (96 tasks). 4 cores, 329862.00 GFLOPS, E:22.40-92.80
M[3]: mak_local 161.870422 energy 18365.367188, total energy 76667.015625 (41 tasks). 12 cores, 416178.00 GFLOPS, E:48.00-131.00
M[4]: mak_local 124.944275 energy 16671.855469, total energy 93338.875000 (16 tasks). 4 cores, 152533.00 GFLOPS, E:68.90-108.80
M[5]: mak_local 147.521057 energy 18660.642578, total energy 111999.515625 (40 tasks). 4 cores, 280253.00 GFLOPS, E:41.20-122.80
M[6]: mak_local 138.335236 energy 23259.128906, total energy 135258.640625 (12 tasks). 4 cores, 122114.00 GFLOPS, E:79.30-150.30
M[7]: mak_local 104.287170 energy 24528.003906, total energy 159786.640625 (4 tasks). 2 cores, 52303.00 GFLOPS, E:105.00-169.00
M[8]: mak_local 164.659988 energy 21006.679688, total energy 180793.312500 (20 tasks). 4 cores, 161999.00 GFLOPS, E:65.00-126.00
M[9]: mak_local 156.294159 energy 10620.498047, total energy 191413.812500 (30 tasks). 4 cores, 226022.00 GFLOPS, E:30.40-69.00
M[10]: mak_local 168.385681 energy 23953.458984, total energy 215367.265625 (73 tasks). 6 cores, 459263.00 GFLOPS, E:59.90-150.40
M[11]: mak_local 122.300354 energy 20249.025391, total energy 235616.296875 (8 tasks). 4 cores, 100845.00 GFLOPS, E:93.50-130.00
M[12]: mak_local 152.206360 energy 20680.042969, total energy 256296.343750 (20 tasks). 4 cores, 165629.00 GFLOPS, E:63.50-129.00
M[13]: mak_local 166.375488 energy 14791.910156, total energy 271088.250000 (22 tasks). 4 cores, 183767.00 GFLOPS, E:48.70-95.00
M[14]: mak_local 170.260559 energy 19473.000000, total energy 290561.250000 (67 tasks). 6 cores, 443655.00 GFLOPS, E:37.20-126.10
M[15]: mak_local 77.404007 energy 27511.066406, total energy 318072.312500 (2 tasks). 2 cores, 37185.00 GFLOPS, E:143.80-183.00
Makespan: 170.260559 energy consumption: 318072.312500 heavy: 14
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.8
M[0]: mak_local 173.699387 energy 20520.156250, total energy 20520.156250 (105 tasks). 4 cores, 325650.00 GFLOPS, E:38.30-121.50
M[1]: mak_local 162.982300 energy 24701.126953, total energy 45221.281250 (27 tasks). 4 cores, 111872.00 GFLOPS, E:107.30-146.00
M[2]: mak_local 98.180229 energy 29142.033203, total energy 74363.312500 (7 tasks). 2 cores, 37185.00 GFLOPS, E:143.80-183.00
M[3]: mak_local 136.357788 energy 16687.208984, total energy 91050.523438 (16 tasks). 4 cores, 153377.00 GFLOPS, E:58.00-105.70
M[4]: mak_local 151.596542 energy 21098.466797, total energy 112148.992188 (20 tasks). 4 cores, 165629.00 GFLOPS, E:63.50-129.00
M[5]: mak_local 177.911179 energy 18550.246094, total energy 130699.234375 (43 tasks). 4 cores, 275475.00 GFLOPS, E:34.50-110.30
M[6]: mak_local 172.497101 energy 15317.425781, total energy 146016.656250 (56 tasks). 4 cores, 329862.00 GFLOPS, E:22.40-92.80
M[7]: mak_local 141.189789 energy 22980.083984, total energy 168996.734375 (12 tasks). 4 cores, 121036.00 GFLOPS, E:104.20-136.00
M[8]: mak_local 177.767548 energy 13213.186523, total energy 182209.921875 (20 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[9]: mak_local 147.178421 energy 9820.607422, total energy 192030.531250 (20 tasks). 2 cores, 136634.00 GFLOPS, E:25.00-61.70
M[10]: mak_local 157.817169 energy 39832.710938, total energy 231863.250000 (64 tasks). 8 cores, 461606.00 GFLOPS, E:135.60-241.50
M[11]: mak_local 121.386017 energy 19123.080078, total energy 250986.328125 (48 tasks). 12 cores, 469103.00 GFLOPS, E:42.80-140.70
M[12]: mak_local 129.015396 energy 20502.394531, total energy 271488.718750 (16 tasks). 4 cores, 154045.00 GFLOPS, E:69.00-134.50
M[13]: mak_local 99.671463 energy 18385.187500, total energy 289873.906250 (4 tasks). 2 cores, 54479.00 GFLOPS, E:86.00-117.00
M[14]: mak_local 164.429810 energy 15809.680664, total energy 305683.593750 (42 tasks). 6 cores, 318441.00 GFLOPS, E:35.70-96.10
M[15]: mak_local 135.856064 energy 23596.228516, total energy 329279.812500 (12 tasks). 4 cores, 122114.00 GFLOPS, E:79.30-150.30
Makespan: 177.911179 energy consumption: 329279.812500 heavy: 5
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.9
M[0]: mak_local 134.203247 energy 17612.242188, total energy 17612.242188 (44 tasks). 4 cores, 173021.00 GFLOPS, E:68.90-119.00
M[1]: mak_local 158.902115 energy 19633.804688, total energy 37246.046875 (40 tasks). 4 cores, 161999.00 GFLOPS, E:65.00-126.00
M[2]: mak_local 161.046432 energy 19670.833984, total energy 56916.882812 (65 tasks). 6 cores, 256780.00 GFLOPS, E:61.00-129.50
M[3]: mak_local 144.429398 energy 24322.476562, total energy 81239.359375 (12 tasks). 4 cores, 126597.00 GFLOPS, E:104.50-156.80
M[4]: mak_local 156.665131 energy 31900.738281, total energy 113140.093750 (69 tasks). 10 cores, 556330.00 GFLOPS, E:105.80-209.30
M[5]: mak_local 162.343948 energy 13671.405273, total energy 126811.500000 (20 tasks). 4 cores, 171052.00 GFLOPS, E:36.60-86.00
M[6]: mak_local 115.668533 energy 16820.582031, total energy 143632.078125 (36 tasks). 12 cores, 416178.00 GFLOPS, E:48.00-131.00
M[7]: mak_local 93.574509 energy 17461.705078, total energy 161093.781250 (12 tasks). 4 cores, 143516.00 GFLOPS, E:77.50-130.00
M[8]: mak_local 111.072281 energy 19770.859375, total energy 180864.640625 (10 tasks). 2 cores, 98472.00 GFLOPS, E:93.70-135.00
M[9]: mak_local 161.350037 energy 16495.648438, total energy 197360.281250 (67 tasks). 4 cores, 412077.00 GFLOPS, E:30.90-106.20
M[10]: mak_local 158.061249 energy 16160.905273, total energy 213521.187500 (15 tasks). 4 cores, 144002.00 GFLOPS, E:64.10-105.00
M[11]: mak_local 158.889633 energy 16180.272461, total energy 229701.453125 (37 tasks). 4 cores, 275475.00 GFLOPS, E:34.50-110.30
M[12]: mak_local 131.580963 energy 15625.187500, total energy 245326.640625 (16 tasks). 4 cores, 153377.00 GFLOPS, E:58.00-105.70
M[13]: mak_local 118.859406 energy 19053.140625, total energy 264379.781250 (8 tasks). 2 cores, 79576.00 GFLOPS, E:86.00-129.00
M[14]: mak_local 128.264084 energy 6764.497559, total energy 271144.281250 (16 tasks). 2 cores, 126976.00 GFLOPS, E:20.80-47.40
M[15]: mak_local 160.679993 energy 8187.461426, total energy 279331.750000 (45 tasks). 4 cores, 314438.00 GFLOPS, E:17.80-55.70
Makespan: 162.343948 energy consumption: 279331.750000 heavy: 5
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.10
M[0]: mak_local 162.317261 energy 21155.595703, total energy 21155.595703 (41 tasks). 4 cores, 143742.00 GFLOPS, E:79.80-132.00
M[1]: mak_local 169.933289 energy 20961.375000, total energy 42116.968750 (82 tasks). 6 cores, 256780.00 GFLOPS, E:61.00-129.50
M[2]: mak_local 55.441753 energy 26622.679688, total energy 68739.648438 (3 tasks). 2 cores, 21521.00 GFLOPS, E:130.00-208.30
M[3]: mak_local 141.735992 energy 19455.492188, total energy 88195.140625 (48 tasks). 12 cores, 459729.00 GFLOPS, E:40.50-134.70
M[4]: mak_local 154.461044 energy 38615.003906, total energy 126810.140625 (64 tasks). 8 cores, 461606.00 GFLOPS, E:135.60-241.50
M[5]: mak_local 150.231506 energy 22196.345703, total energy 149006.484375 (12 tasks). 2 cores, 98472.00 GFLOPS, E:93.70-135.00
M[6]: mak_local 115.199783 energy 25371.421875, total energy 174377.906250 (4 tasks). 2 cores, 52303.00 GFLOPS, E:105.00-169.00
M[7]: mak_local 121.478607 energy 15142.224609, total energy 189520.125000 (24 tasks). 6 cores, 231108.00 GFLOPS, E:40.20-109.00
M[8]: mak_local 164.819733 energy 15718.121094, total energy 205238.250000 (42 tasks). 6 cores, 318441.00 GFLOPS, E:35.70-96.10
M[9]: mak_local 171.631714 energy 19460.853516, total energy 224699.109375 (23 tasks). 4 cores, 188173.00 GFLOPS, E:59.60-118.50
M[10]: mak_local 153.173080 energy 21128.392578, total energy 245827.500000 (20 tasks). 4 cores, 169068.00 GFLOPS, E:68.50-131.60
M[11]: mak_local 171.259140 energy 32865.109375, total energy 278692.625000 (73 tasks). 10 cores, 556330.00 GFLOPS, E:105.80-209.30
M[12]: mak_local 94.684334 energy 17676.531250, total energy 296369.156250 (4 tasks). 2 cores, 54479.00 GFLOPS, E:86.00-117.00
M[13]: mak_local 170.494385 energy 8882.337891, total energy 305251.500000 (52 tasks). 4 cores, 314438.00 GFLOPS, E:17.80-55.70
M[14]: mak_local 56.240719 energy 13246.419922, total energy 318497.906250 (4 tasks). 4 cores, 89881.00 GFLOPS, E:67.80-96.80
M[15]: mak_local 167.560318 energy 17639.720703, total energy 336137.625000 (16 tasks). 4 cores, 144002.00 GFLOPS, E:64.10-105.00
Makespan: 171.631714 energy consumption: 336137.625000 heavy: 9
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.11
M[0]: mak_local 156.493378 energy 14317.833984, total energy 14317.833984 (82 tasks). 6 cores, 318441.00 GFLOPS, E:35.70-96.10
M[1]: mak_local 139.629486 energy 15578.755859, total energy 29896.589844 (40 tasks). 4 cores, 173163.00 GFLOPS, E:59.50-105.00
M[2]: mak_local 154.846252 energy 19666.386719, total energy 49562.976562 (31 tasks). 4 cores, 143742.00 GFLOPS, E:79.80-132.00
M[3]: mak_local 120.148682 energy 12067.705078, total energy 61630.679688 (18 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[4]: mak_local 136.419678 energy 15700.453125, total energy 77331.132812 (16 tasks). 4 cores, 153377.00 GFLOPS, E:58.00-105.70
M[5]: mak_local 146.960281 energy 17912.007812, total energy 95243.140625 (51 tasks). 4 cores, 325650.00 GFLOPS, E:38.30-121.50
M[6]: mak_local 161.863754 energy 36195.054688, total energy 131438.187500 (59 tasks). 8 cores, 461606.00 GFLOPS, E:135.60-241.50
M[7]: mak_local 147.972046 energy 17027.320312, total energy 148465.500000 (16 tasks). 4 cores, 152533.00 GFLOPS, E:68.90-108.80
M[8]: mak_local 136.047516 energy 10067.667969, total energy 158533.171875 (28 tasks). 4 cores, 226022.00 GFLOPS, E:30.40-69.00
M[9]: mak_local 129.848938 energy 13801.736328, total energy 172334.906250 (20 tasks). 4 cores, 183767.00 GFLOPS, E:48.70-95.00
